fSalesPrimaryKey,ProductID,SalesRepID,Location,Date,Units,PercentOfStandardCost,RevenueDiscount
12249,3,5,GermanyBerlin,42006,144,0.966,0.55
12250,11,3,Czech republicOstrava,42006,141,0.966,0.55
12251,9,7,GermanyFrankfurt,42006,139,0.966,0.55
12252,11,5,GermanyBerlin,42006,133,0.966,0.55
12253,11,2,DenmarkCopenhagen,42006,130,0.966,0.55
12254,5,1,Czech republicPrague,42006,130,0.966,0.55
12255,5,3,Czech republicBrno,42006,126,0.966,0.55
12256,8,5,GermanyBerlin,42006,126,0.966,0.55
12257,1,5,GermanyBerlin,42006,122,0.966,0.55
12258,2,2,DenmarkCopenhagen,42006,117,0.966,0.55
12259,9,7,GermanyFrankfurt,42006,115,0.966,0.55
12260,2,4,GermanyFrankfurt,42006,111,0.966,0.55
12261,11,2,DenmarkCopenhagen,42006,110,0.966,0.55
12262,4,7,GermanyFrankfurt,42006,100,0.966,0.55
12263,10,5,GermanyBerlin,42006,100,0.966,0.55
12264,4,6,GermanyDresden,42006,97,0.966,0.4
12265,7,7,GermanyFrankfurt,42006,89,0.966,0.4
12266,5,5,GermanyBerlin,42006,75,0.966,0.15
12267,1,7,GermanyFrankfurt,42006,74,0.966,0.15
12268,9,5,GermanyBerlin,42006,66,0.966,0.15
12269,8,1,Czech republicPrague,42006,58,0.966,0.15
12270,11,7,GermanyFrankfurt,42006,50,0.966,0.15
12271,1,6,GermanyDresden,42006,48,0.966,0.15
12272,3,7,GermanyFrankfurt,42006,48,0.966,0.15
12273,6,7,GermanyFrankfurt,42006,43,0.966,0.15
12274,3,5,GermanyBerlin,42006,39,0.966,0.15
12275,4,5,GermanyBerlin,42006,37,0.966,0.15
12276,5,1,Czech republicPrague,42006,37,0.966,0.15
12277,10,2,DenmarkCopenhagen,42006,36,0.966,0.15
12278,11,5,GermanyBerlin,42006,31,0.966,0.15
12279,6,7,GermanyFrankfurt,42006,27,0.966,0.15
12280,3,1,Czech republicPrague,42006,26,0.966,0.15
12281,4,6,GermanyDresden,42006,24,0.966,0.01
12282,5,7,GermanyFrankfurt,42006,19,0.966,0.01
12283,4,3,Czech republicBrno,42006,13,0.966,0.01
12284,5,2,DenmarkCopenhagen,42006,11,0.966,0.01
12285,7,5,GermanyBerlin,42006,11,0.966,0.01
12286,8,5,GermanyBerlin,42006,10,0.966,0
12287,3,7,GermanyFrankfurt,42006,9,0.966,0
12288,5,5,GermanyBerlin,42006,3,0.966,0
12289,9,5,GermanyBerlin,42007,150,0.964,0.55
12290,2,7,GermanyFrankfurt,42007,150,0.964,0.55
12291,4,1,Czech republicPrague,42007,148,0.964,0.55
12292,9,7,GermanyFrankfurt,42007,148,0.964,0.55
12293,6,3,Czech republicBrno,42007,148,0.964,0.55
12294,3,5,GermanyBerlin,42007,145,0.964,0.55
12295,3,4,GermanyFrankfurt,42007,143,0.964,0.55
12296,3,5,GermanyBerlin,42007,139,0.964,0.55
12297,8,7,GermanyFrankfurt,42007,139,0.964,0.55
12298,3,5,GermanyBerlin,42007,138,0.964,0.55
12299,4,2,DenmarkCopenhagen,42007,132,0.964,0.55
12300,2,7,GermanyFrankfurt,42007,129,0.964,0.55
12301,11,7,GermanyFrankfurt,42007,127,0.964,0.55
12302,1,5,GermanyBerlin,42007,126,0.964,0.55
12303,7,4,GermanyFrankfurt,42007,125,0.964,0.55
12304,4,7,GermanyFrankfurt,42007,124,0.964,0.55
12305,11,4,GermanyFrankfurt,42007,121,0.964,0.55
12306,8,7,GermanyFrankfurt,42007,121,0.964,0.55
12307,11,3,Czech republicOstrava,42007,120,0.964,0.55
12308,8,4,GermanyFrankfurt,42007,116,0.964,0.55
12309,7,1,Czech republicPrague,42007,109,0.964,0.55
12310,5,3,Czech republicBrno,42007,108,0.964,0.55
12311,8,7,GermanyFrankfurt,42007,105,0.964,0.55
12312,2,4,GermanyFrankfurt,42007,102,0.964,0.55
12313,10,5,GermanyBerlin,42007,101,0.964,0.55
12314,10,5,GermanyBerlin,42007,97,0.964,0.4
12315,5,6,GermanyDresden,42007,91,0.964,0.4
12316,4,5,GermanyBerlin,42007,90,0.964,0.4
12317,8,5,GermanyBerlin,42007,85,0.964,0.4
12318,6,1,Czech republicPrague,42007,84,0.964,0.4
12319,8,5,GermanyBerlin,42007,82,0.964,0.4
12320,6,7,GermanyFrankfurt,42007,82,0.964,0.4
12321,5,7,GermanyFrankfurt,42007,80,0.964,0.4
12322,3,7,GermanyFrankfurt,42007,79,0.964,0.4
12323,9,7,GermanyFrankfurt,42007,77,0.964,0.4
12324,10,6,GermanyDresden,42007,69,0.964,0.15
12325,1,2,DenmarkCopenhagen,42007,64,0.964,0.15
12326,10,5,GermanyBerlin,42007,57,0.964,0.15
12327,3,2,DenmarkCopenhagen,42007,53,0.964,0.15
12328,9,2,DenmarkCopenhagen,42007,51,0.964,0.15
12329,7,5,GermanyBerlin,42007,45,0.964,0.15
12330,4,4,GermanyFrankfurt,42007,44,0.964,0.15
12331,3,3,Czech republicBrno,42007,44,0.964,0.15
12332,8,7,GermanyFrankfurt,42007,43,0.964,0.15
12333,9,7,GermanyFrankfurt,42007,41,0.964,0.15
12334,7,4,GermanyFrankfurt,42007,40,0.964,0.15
12335,9,2,DenmarkCopenhagen,42007,37,0.964,0.15
12336,2,5,GermanyBerlin,42007,37,0.964,0.15
12337,5,5,GermanyBerlin,42007,36,0.964,0.15
12338,7,3,Czech republicOstrava,42007,33,0.964,0.15
12339,5,1,Czech republicPrague,42007,22,0.964,0.01
12340,10,6,GermanyDresden,42007,21,0.964,0.01
12341,4,7,GermanyFrankfurt,42007,18,0.964,0.01
12342,9,5,GermanyBerlin,42007,18,0.964,0.01
12343,1,3,Czech republicBrno,42007,13,0.964,0.01
12344,10,5,GermanyBerlin,42007,10,0.964,0
12345,7,5,GermanyBerlin,42007,6,0.964,0
12346,5,5,GermanyBerlin,42007,5,0.964,0
12347,7,7,GermanyFrankfurt,42007,4,0.964,0
12348,9,7,GermanyFrankfurt,42007,3,0.964,0
12349,1,5,GermanyBerlin,42010,149,0.97,0.55
12350,2,5,GermanyBerlin,42010,144,0.97,0.55
12351,3,7,GermanyFrankfurt,42010,139,0.97,0.55
12352,6,4,GermanyFrankfurt,42010,136,0.97,0.55
12353,1,6,GermanyDresden,42010,135,0.97,0.55
12354,5,3,Czech republicBrno,42010,134,0.97,0.55
12355,9,4,GermanyFrankfurt,42010,131,0.97,0.55
12356,8,5,GermanyBerlin,42010,131,0.97,0.55
12357,4,5,GermanyBerlin,42010,129,0.97,0.55
12358,9,6,GermanyDresden,42010,129,0.97,0.55
12359,4,7,GermanyFrankfurt,42010,128,0.97,0.55
12360,5,5,GermanyBerlin,42010,125,0.97,0.55
12361,7,7,GermanyFrankfurt,42010,125,0.97,0.55
12362,8,6,GermanyDresden,42010,122,0.97,0.55
12363,2,3,Czech republicBrno,42010,118,0.97,0.55
12364,10,5,GermanyBerlin,42010,115,0.97,0.55
12365,9,7,GermanyFrankfurt,42010,114,0.97,0.55
12366,8,3,Czech republicOstrava,42010,113,0.97,0.55
12367,2,7,GermanyFrankfurt,42010,112,0.97,0.55
12368,10,5,GermanyBerlin,42010,108,0.97,0.55
12369,2,5,GermanyBerlin,42010,107,0.97,0.55
12370,7,5,GermanyBerlin,42010,106,0.97,0.55
12371,5,5,GermanyBerlin,42010,105,0.97,0.55
12372,9,3,Czech republicOstrava,42010,103,0.97,0.55
12373,7,3,Czech republicOstrava,42010,99,0.97,0.4
12374,4,5,GermanyBerlin,42010,99,0.97,0.4
12375,8,5,GermanyBerlin,42010,98,0.97,0.4
12376,5,6,GermanyDresden,42010,98,0.97,0.4
12377,3,2,DenmarkCopenhagen,42010,88,0.97,0.4
12378,8,7,GermanyFrankfurt,42010,82,0.97,0.4
12379,9,7,GermanyFrankfurt,42010,81,0.97,0.4
12380,5,4,GermanyFrankfurt,42010,80,0.97,0.4
12381,8,2,DenmarkCopenhagen,42010,80,0.97,0.4
12382,11,7,GermanyFrankfurt,42010,79,0.97,0.4
12383,11,5,GermanyBerlin,42010,77,0.97,0.4
12384,4,5,GermanyBerlin,42010,74,0.97,0.15
12385,10,3,Czech republicOstrava,42010,72,0.97,0.15
12386,10,5,GermanyBerlin,42010,66,0.97,0.15
12387,10,7,GermanyFrankfurt,42010,65,0.97,0.15
12388,4,5,GermanyBerlin,42010,61,0.97,0.15
12389,5,3,Czech republicBrno,42010,55,0.97,0.15
12390,7,5,GermanyBerlin,42010,53,0.97,0.15
12391,3,5,GermanyBerlin,42010,53,0.97,0.15
12392,6,5,GermanyBerlin,42010,52,0.97,0.15
12393,6,7,GermanyFrankfurt,42010,48,0.97,0.15
12394,6,6,GermanyDresden,42010,45,0.97,0.15
12395,9,7,GermanyFrankfurt,42010,43,0.97,0.15
12396,2,5,GermanyBerlin,42010,39,0.97,0.15
12397,7,5,GermanyBerlin,42010,36,0.97,0.15
12398,5,4,GermanyFrankfurt,42010,34,0.97,0.15
12399,1,3,Czech republicBrno,42010,32,0.97,0.15
12400,11,7,GermanyFrankfurt,42010,31,0.97,0.15
12401,1,7,GermanyFrankfurt,42010,29,0.97,0.15
12402,2,6,GermanyDresden,42010,29,0.97,0.15
12403,10,2,DenmarkCopenhagen,42010,22,0.97,0.01
12404,3,5,GermanyBerlin,42010,20,0.97,0.01
12405,4,6,GermanyDresden,42010,20,0.97,0.01
12406,3,3,Czech republicBrno,42010,15,0.97,0.01
12407,9,6,GermanyDresden,42010,7,0.97,0
12408,5,7,GermanyFrankfurt,42010,5,0.97,0
12409,7,4,GermanyFrankfurt,42010,4,0.97,0
12410,6,6,GermanyDresden,42010,2,0.97,0
12411,11,5,GermanyBerlin,42011,150,0.966,0.55
12412,5,3,Czech republicBrno,42011,149,0.966,0.55
12413,7,7,GermanyFrankfurt,42011,148,0.966,0.55
12414,5,1,Czech republicPrague,42011,147,0.966,0.55
12415,6,2,DenmarkCopenhagen,42011,142,0.966,0.55
12416,10,6,GermanyDresden,42011,140,0.966,0.55
12417,8,7,GermanyFrankfurt,42011,138,0.966,0.55
12418,2,2,DenmarkCopenhagen,42011,132,0.966,0.55
12419,1,6,GermanyDresden,42011,129,0.966,0.55
12420,8,3,Czech republicOstrava,42011,127,0.966,0.55
12421,6,5,GermanyBerlin,42011,127,0.966,0.55
12422,10,7,GermanyFrankfurt,42011,125,0.966,0.55
12423,7,5,GermanyBerlin,42011,122,0.966,0.55
12424,11,6,GermanyDresden,42011,115,0.966,0.55
12425,9,7,GermanyFrankfurt,42011,110,0.966,0.55
12426,5,7,GermanyFrankfurt,42011,105,0.966,0.55
12427,4,7,GermanyFrankfurt,42011,104,0.966,0.55
12428,5,5,GermanyBerlin,42011,104,0.966,0.55
12429,10,4,GermanyFrankfurt,42011,103,0.966,0.55
12430,5,5,GermanyBerlin,42011,97,0.966,0.4
12431,6,5,GermanyBerlin,42011,95,0.966,0.4
12432,5,5,GermanyBerlin,42011,91,0.966,0.4
12433,7,1,Czech republicPrague,42011,87,0.966,0.4
12434,4,7,GermanyFrankfurt,42011,86,0.966,0.4
12435,3,7,GermanyFrankfurt,42011,85,0.966,0.4
12436,7,4,GermanyFrankfurt,42011,83,0.966,0.4
12437,4,4,GermanyFrankfurt,42011,81,0.966,0.4
12438,8,5,GermanyBerlin,42011,79,0.966,0.4
12439,1,7,GermanyFrankfurt,42011,79,0.966,0.4
12440,7,5,GermanyBerlin,42011,77,0.966,0.4
12441,2,4,GermanyFrankfurt,42011,74,0.966,0.15
12442,5,7,GermanyFrankfurt,42011,73,0.966,0.15
12443,2,7,GermanyFrankfurt,42011,72,0.966,0.15
12444,9,5,GermanyBerlin,42011,72,0.966,0.15
12445,4,6,GermanyDresden,42011,62,0.966,0.15
12446,9,5,GermanyBerlin,42011,59,0.966,0.15
12447,5,4,GermanyFrankfurt,42011,56,0.966,0.15
12448,1,7,GermanyFrankfurt,42011,56,0.966,0.15
12449,7,5,GermanyBerlin,42011,54,0.966,0.15
12450,9,5,GermanyBerlin,42011,50,0.966,0.15
12451,2,5,GermanyBerlin,42011,49,0.966,0.15
12452,8,5,GermanyBerlin,42011,47,0.966,0.15
12453,9,1,Czech republicPrague,42011,44,0.966,0.15
12454,7,3,Czech republicOstrava,42011,40,0.966,0.15
12455,6,1,Czech republicPrague,42011,34,0.966,0.15
12456,3,7,GermanyFrankfurt,42011,30,0.966,0.15
12457,6,7,GermanyFrankfurt,42011,26,0.966,0.15
12458,9,2,DenmarkCopenhagen,42011,25,0.966,0.01
12459,4,6,GermanyDresden,42011,23,0.966,0.01
12460,9,7,GermanyFrankfurt,42011,22,0.966,0.01
12461,5,7,GermanyFrankfurt,42011,17,0.966,0.01
12462,1,5,GermanyBerlin,42011,9,0.966,0
12463,5,5,GermanyBerlin,42011,9,0.966,0
12464,3,7,GermanyFrankfurt,42011,4,0.966,0
12465,10,7,GermanyFrankfurt,42011,4,0.966,0
12466,6,5,GermanyBerlin,42011,1,0.966,0
12467,2,5,GermanyBerlin,42011,1,0.966,0
12468,2,5,GermanyBerlin,42012,147,0.967,0.55
12469,10,5,GermanyBerlin,42012,146,0.967,0.55
12470,10,6,GermanyDresden,42012,144,0.967,0.55
12471,8,7,GermanyFrankfurt,42012,132,0.967,0.55
12472,5,7,GermanyFrankfurt,42012,131,0.967,0.55
12473,8,5,GermanyBerlin,42012,124,0.967,0.55
12474,6,7,GermanyFrankfurt,42012,124,0.967,0.55
12475,11,7,GermanyFrankfurt,42012,120,0.967,0.55
12476,7,1,Czech republicPrague,42012,117,0.967,0.55
12477,7,5,GermanyBerlin,42012,115,0.967,0.55
12478,6,4,GermanyFrankfurt,42012,114,0.967,0.55
12479,10,2,DenmarkCopenhagen,42012,113,0.967,0.55
12480,7,3,Czech republicOstrava,42012,111,0.967,0.55
12481,9,4,GermanyFrankfurt,42012,111,0.967,0.55
12482,1,1,Czech republicPrague,42012,106,0.967,0.55
12483,5,7,GermanyFrankfurt,42012,98,0.967,0.4
12484,3,5,GermanyBerlin,42012,95,0.967,0.4
12485,8,5,GermanyBerlin,42012,92,0.967,0.4
12486,11,7,GermanyFrankfurt,42012,92,0.967,0.4
12487,1,7,GermanyFrankfurt,42012,90,0.967,0.4
12488,4,7,GermanyFrankfurt,42012,88,0.967,0.4
12489,9,2,DenmarkCopenhagen,42012,88,0.967,0.4
12490,6,7,GermanyFrankfurt,42012,87,0.967,0.4
12491,4,5,GermanyBerlin,42012,85,0.967,0.4
12492,1,2,DenmarkCopenhagen,42012,82,0.967,0.4
12493,8,5,GermanyBerlin,42012,80,0.967,0.4
12494,6,5,GermanyBerlin,42012,79,0.967,0.4
12495,2,5,GermanyBerlin,42012,77,0.967,0.4
12496,11,3,Czech republicOstrava,42012,72,0.967,0.15
12497,4,3,Czech republicBrno,42012,62,0.967,0.15
12498,2,7,GermanyFrankfurt,42012,58,0.967,0.15
12499,6,6,GermanyDresden,42012,57,0.967,0.15
12500,3,1,Czech republicPrague,42012,57,0.967,0.15
12501,10,3,Czech republicOstrava,42012,54,0.967,0.15
12502,3,7,GermanyFrankfurt,42012,53,0.967,0.15
12503,6,5,GermanyBerlin,42012,53,0.967,0.15
12504,2,1,Czech republicPrague,42012,52,0.967,0.15
12505,6,6,GermanyDresden,42012,46,0.967,0.15
12506,8,5,GermanyBerlin,42012,38,0.967,0.15
12507,11,2,DenmarkCopenhagen,42012,36,0.967,0.15
12508,6,5,GermanyBerlin,42012,34,0.967,0.15
12509,11,5,GermanyBerlin,42012,25,0.967,0.01
12510,5,3,Czech republicBrno,42012,22,0.967,0.01
12511,6,5,GermanyBerlin,42012,12,0.967,0.01
12512,1,1,Czech republicPrague,42012,3,0.967,0
12513,8,6,GermanyDresden,42012,2,0.967,0
12514,2,5,GermanyBerlin,42012,1,0.967,0
12515,11,1,Czech republicPrague,42013,144,0.96,0.55
12516,3,7,GermanyFrankfurt,42013,143,0.96,0.55
12517,6,5,GermanyBerlin,42013,142,0.96,0.55
12518,7,6,GermanyDresden,42013,137,0.96,0.55
12519,6,5,GermanyBerlin,42013,136,0.96,0.55
12520,1,3,Czech republicBrno,42013,135,0.96,0.55
12521,8,7,GermanyFrankfurt,42013,135,0.96,0.55
12522,10,1,Czech republicPrague,42013,134,0.96,0.55
12523,11,4,GermanyFrankfurt,42013,129,0.96,0.55
12524,11,7,GermanyFrankfurt,42013,126,0.96,0.55
12525,3,1,Czech republicPrague,42013,122,0.96,0.55
12526,7,5,GermanyBerlin,42013,121,0.96,0.55
12527,1,5,GermanyBerlin,42013,120,0.96,0.55
12528,5,1,Czech republicPrague,42013,120,0.96,0.55
12529,8,5,GermanyBerlin,42013,119,0.96,0.55
12530,7,2,DenmarkCopenhagen,42013,119,0.96,0.55
12531,8,7,GermanyFrankfurt,42013,118,0.96,0.55
12532,11,5,GermanyBerlin,42013,111,0.96,0.55
12533,7,5,GermanyBerlin,42013,106,0.96,0.55
12534,2,2,DenmarkCopenhagen,42013,105,0.96,0.55
12535,6,7,GermanyFrankfurt,42013,100,0.96,0.55
12536,4,2,DenmarkCopenhagen,42013,98,0.96,0.4
12537,9,7,GermanyFrankfurt,42013,97,0.96,0.4
12538,4,5,GermanyBerlin,42013,90,0.96,0.4
12539,6,7,GermanyFrankfurt,42013,82,0.96,0.4
12540,8,5,GermanyBerlin,42013,73,0.96,0.15
12541,4,5,GermanyBerlin,42013,61,0.96,0.15
12542,7,1,Czech republicPrague,42013,60,0.96,0.15
12543,11,5,GermanyBerlin,42013,50,0.96,0.15
12544,5,7,GermanyFrankfurt,42013,48,0.96,0.15
12545,4,4,GermanyFrankfurt,42013,44,0.96,0.15
12546,9,2,DenmarkCopenhagen,42013,40,0.96,0.15
12547,8,3,Czech republicOstrava,42013,35,0.96,0.15
12548,9,2,DenmarkCopenhagen,42013,27,0.96,0.15
12549,9,5,GermanyBerlin,42013,24,0.96,0.01
12550,4,5,GermanyBerlin,42013,21,0.96,0.01
12551,1,4,GermanyFrankfurt,42013,14,0.96,0.01
12552,11,5,GermanyBerlin,42013,3,0.96,0
12553,9,7,GermanyFrankfurt,42013,2,0.96,0
12554,11,4,GermanyFrankfurt,42013,2,0.96,0
12555,6,4,GermanyFrankfurt,42013,1,0.96,0
12556,5,5,GermanyBerlin,42016,150,0.972,0.55
12557,11,1,Czech republicPrague,42016,150,0.972,0.55
12558,9,7,GermanyFrankfurt,42016,143,0.972,0.55
12559,9,5,GermanyBerlin,42016,140,0.972,0.55
12560,7,5,GermanyBerlin,42016,139,0.972,0.55
12561,3,2,DenmarkCopenhagen,42016,136,0.972,0.55
12562,9,5,GermanyBerlin,42016,124,0.972,0.55
12563,6,7,GermanyFrankfurt,42016,118,0.972,0.55
12564,1,7,GermanyFrankfurt,42016,115,0.972,0.55
12565,7,7,GermanyFrankfurt,42016,113,0.972,0.55
12566,8,6,GermanyDresden,42016,105,0.972,0.55
12567,8,5,GermanyBerlin,42016,101,0.972,0.55
12568,5,5,GermanyBerlin,42016,99,0.972,0.4
12569,8,7,GermanyFrankfurt,42016,96,0.972,0.4
12570,2,5,GermanyBerlin,42016,93,0.972,0.4
12571,7,7,GermanyFrankfurt,42016,90,0.972,0.4
12572,11,2,DenmarkCopenhagen,42016,82,0.972,0.4
12573,5,5,GermanyBerlin,42016,82,0.972,0.4
12574,1,5,GermanyBerlin,42016,78,0.972,0.4
12575,1,4,GermanyFrankfurt,42016,75,0.972,0.15
12576,10,3,Czech republicOstrava,42016,75,0.972,0.15
12577,4,6,GermanyDresden,42016,74,0.972,0.15
12578,5,7,GermanyFrankfurt,42016,68,0.972,0.15
12579,9,5,GermanyBerlin,42016,68,0.972,0.15
12580,11,2,DenmarkCopenhagen,42016,67,0.972,0.15
12581,1,5,GermanyBerlin,42016,63,0.972,0.15
12582,8,5,GermanyBerlin,42016,60,0.972,0.15
12583,3,7,GermanyFrankfurt,42016,57,0.972,0.15
12584,9,7,GermanyFrankfurt,42016,55,0.972,0.15
12585,6,7,GermanyFrankfurt,42016,49,0.972,0.15
12586,8,5,GermanyBerlin,42016,47,0.972,0.15
12587,8,5,GermanyBerlin,42016,46,0.972,0.15
12588,9,1,Czech republicPrague,42016,38,0.972,0.15
12589,4,7,GermanyFrankfurt,42016,33,0.972,0.15
12590,11,3,Czech republicOstrava,42016,21,0.972,0.01
12591,5,6,GermanyDresden,42016,17,0.972,0.01
12592,9,6,GermanyDresden,42016,17,0.972,0.01
12593,8,7,GermanyFrankfurt,42016,13,0.972,0.01
12594,5,3,Czech republicBrno,42016,13,0.972,0.01
12595,7,5,GermanyBerlin,42017,148,0.968,0.55
12596,8,7,GermanyFrankfurt,42017,144,0.968,0.55
12597,1,7,GermanyFrankfurt,42017,141,0.968,0.55
12598,9,3,Czech republicOstrava,42017,133,0.968,0.55
12599,5,1,Czech republicPrague,42017,132,0.968,0.55
12600,1,6,GermanyDresden,42017,132,0.968,0.55
12601,7,1,Czech republicPrague,42017,131,0.968,0.55
12602,5,5,GermanyBerlin,42017,129,0.968,0.55
12603,11,5,GermanyBerlin,42017,125,0.968,0.55
12604,1,5,GermanyBerlin,42017,121,0.968,0.55
12605,9,5,GermanyBerlin,42017,113,0.968,0.55
12606,2,7,GermanyFrankfurt,42017,110,0.968,0.55
12607,6,2,DenmarkCopenhagen,42017,106,0.968,0.55
12608,11,2,DenmarkCopenhagen,42017,106,0.968,0.55
12609,6,5,GermanyBerlin,42017,105,0.968,0.55
12610,5,7,GermanyFrankfurt,42017,91,0.968,0.4
12611,7,3,Czech republicOstrava,42017,89,0.968,0.4
12612,4,5,GermanyBerlin,42017,87,0.968,0.4
12613,2,7,GermanyFrankfurt,42017,87,0.968,0.4
12614,8,5,GermanyBerlin,42017,86,0.968,0.4
12615,2,5,GermanyBerlin,42017,83,0.968,0.4
12616,7,2,DenmarkCopenhagen,42017,81,0.968,0.4
12617,4,6,GermanyDresden,42017,78,0.968,0.4
12618,11,5,GermanyBerlin,42017,78,0.968,0.4
12619,10,1,Czech republicPrague,42017,70,0.968,0.15
12620,4,6,GermanyDresden,42017,68,0.968,0.15
12621,9,3,Czech republicOstrava,42017,65,0.968,0.15
12622,4,5,GermanyBerlin,42017,63,0.968,0.15
12623,5,1,Czech republicPrague,42017,61,0.968,0.15
12624,8,5,GermanyBerlin,42017,61,0.968,0.15
12625,3,4,GermanyFrankfurt,42017,58,0.968,0.15
12626,2,1,Czech republicPrague,42017,56,0.968,0.15
12627,8,7,GermanyFrankfurt,42017,55,0.968,0.15
12628,4,1,Czech republicPrague,42017,55,0.968,0.15
12629,4,4,GermanyFrankfurt,42017,46,0.968,0.15
12630,9,1,Czech republicPrague,42017,41,0.968,0.15
12631,2,7,GermanyFrankfurt,42017,37,0.968,0.15
12632,7,1,Czech republicPrague,42017,25,0.968,0.01
12633,10,7,GermanyFrankfurt,42017,21,0.968,0.01
12634,9,4,GermanyFrankfurt,42017,19,0.968,0.01
12635,10,7,GermanyFrankfurt,42017,13,0.968,0.01
12636,10,5,GermanyBerlin,42017,12,0.968,0.01
12637,1,5,GermanyBerlin,42017,12,0.968,0.01
12638,3,7,GermanyFrankfurt,42017,6,0.968,0
12639,3,5,GermanyBerlin,42017,1,0.968,0
12640,4,4,GermanyFrankfurt,42018,149,0.971,0.55
12641,4,7,GermanyFrankfurt,42018,142,0.971,0.55
12642,1,1,Czech republicPrague,42018,138,0.971,0.55
12643,10,5,GermanyBerlin,42018,138,0.971,0.55
12644,4,7,GermanyFrankfurt,42018,129,0.971,0.55
12645,7,7,GermanyFrankfurt,42018,125,0.971,0.55
12646,5,7,GermanyFrankfurt,42018,121,0.971,0.55
12647,10,5,GermanyBerlin,42018,108,0.971,0.55
12648,11,4,GermanyFrankfurt,42018,99,0.971,0.4
12649,1,7,GermanyFrankfurt,42018,99,0.971,0.4
12650,3,7,GermanyFrankfurt,42018,95,0.971,0.4
12651,3,2,DenmarkCopenhagen,42018,92,0.971,0.4
12652,6,3,Czech republicBrno,42018,90,0.971,0.4
12653,9,7,GermanyFrankfurt,42018,87,0.971,0.4
