fSalesPrimaryKey,ProductID,SalesRepID,Location,Date,Units,PercentOfStandardCost,RevenueDiscount
24749,2,2,DenmarkCopenhagen,42370,149,0.963,0.55
24750,5,4,GermanyFrankfurt,42370,145,0.963,0.55
24751,4,2,DenmarkCopenhagen,42370,142,0.963,0.55
24752,1,1,Czech republicPrague,42370,141,0.963,0.55
24753,4,7,GermanyFrankfurt,42370,141,0.963,0.55
24754,1,6,GermanyDresden,42370,138,0.963,0.55
24755,5,5,GermanyBerlin,42370,132,0.963,0.55
24756,3,7,GermanyFrankfurt,42370,131,0.963,0.55
24757,9,6,GermanyDresden,42370,131,0.963,0.55
24758,8,1,Czech republicPrague,42370,129,0.963,0.55
24759,8,7,GermanyFrankfurt,42370,126,0.963,0.55
24760,2,5,GermanyBerlin,42370,123,0.963,0.55
24761,11,5,GermanyBerlin,42370,121,0.963,0.55
24762,4,7,GermanyFrankfurt,42370,119,0.963,0.55
24763,6,1,Czech republicPrague,42370,117,0.963,0.55
24764,5,7,GermanyFrankfurt,42370,115,0.963,0.55
24765,7,5,GermanyBerlin,42370,113,0.963,0.55
24766,9,2,DenmarkCopenhagen,42370,112,0.963,0.55
24767,9,7,GermanyFrankfurt,42370,111,0.963,0.55
24768,1,3,Czech republicBrno,42370,110,0.963,0.55
24769,10,5,GermanyBerlin,42370,105,0.963,0.55
24770,1,6,GermanyDresden,42370,102,0.963,0.55
24771,6,1,Czech republicPrague,42370,98,0.963,0.4
24772,10,7,GermanyFrankfurt,42370,95,0.963,0.4
24773,4,5,GermanyBerlin,42370,91,0.963,0.4
24774,1,7,GermanyFrankfurt,42370,90,0.963,0.4
24775,10,3,Czech republicOstrava,42370,87,0.963,0.4
24776,4,1,Czech republicPrague,42370,85,0.963,0.4
24777,10,7,GermanyFrankfurt,42370,82,0.963,0.4
24778,8,5,GermanyBerlin,42370,80,0.963,0.4
24779,7,5,GermanyBerlin,42370,80,0.963,0.4
24780,10,7,GermanyFrankfurt,42370,78,0.963,0.4
24781,8,2,DenmarkCopenhagen,42370,74,0.963,0.15
24782,3,5,GermanyBerlin,42370,73,0.963,0.15
24783,4,7,GermanyFrankfurt,42370,69,0.963,0.15
24784,3,7,GermanyFrankfurt,42370,66,0.963,0.15
24785,6,6,GermanyDresden,42370,65,0.963,0.15
24786,2,7,GermanyFrankfurt,42370,64,0.963,0.15
24787,4,6,GermanyDresden,42370,64,0.963,0.15
24788,10,4,GermanyFrankfurt,42370,63,0.963,0.15
24789,11,3,Czech republicOstrava,42370,58,0.963,0.15
